127.0.0.1 - - [03/Aug/2017:20:38:02 -0400] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:06 -0400] "GET /ScrumbledorsArmy/static/index.html HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:06 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:07 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:07 -0400] "GET /ScrumbledorsArmy/static/login.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:18 -0400] "GET /ScrumbledorsArmy/static/index.html HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:19 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:19 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:20 -0400] "GET /ScrumbledorsArmy/static/login.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:25 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:33 -0400] "POST /ScrumbledorsArmy/login HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:34 -0400] "POST /ScrumbledorsArmy/login HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:37 -0400] "POST /ScrumbledorsArmy/login HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:38:48 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:39:44 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:40:25 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:40:46 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:40:46 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:40:46 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:40:48 -0400] "GET /ScrumbledorsArmy/static/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:42:48 -0400] "GET /ScrumbledorsArmy/static/register.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:42:52 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:46:18 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:46:18 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:46:18 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:46:18 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [03/Aug/2017:20:46:20 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:22:47 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:22:47 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:22:47 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:22:47 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:22:49 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:42:00 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:42:00 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:42:00 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:42:00 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4166
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:42:02 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:43:20 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:43:20 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:48:08 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:48:08 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:48:10 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:51:02 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:51:02 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:51:02 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:51:02 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4415
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:51:04 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:56:17 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:56:18 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:56:20 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:59:59 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:59:59 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:59:59 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:21:59:59 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:00:01 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:10:09 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:10:09 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:10:09 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:10:09 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:10:11 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:14:42 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:14:42 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:14:44 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:16:11 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:16:11 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:16:13 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:17:01 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:17:01 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:17:20 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:17:20 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:18:36 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:18:36 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:18:38 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 200 2413
